file_name,additional_feature
128.png,"a close up of a Chinese style painting of a woman sitting on a rock, white hanfu, long hair with a ponytail, official artwork, teenager girl, as she looks up at the ceiling, huge dramatic brush strokes, turning her head and smiling, woman with red hair"
129.png,"Chinese style, there are three cats that are walking in the snow, by Qi Baishi, the squirrel king, connectedness, inspired by Huang Guangjian, dark blurry background, two headed cat, monochrome color palate, soft brush, painterly style, cute cat, small dog, black flowers, harmonious, house background, dog"
130.png,"a Chinese style close up of two rabbits sitting on a rock with a bird in the background, qi baishi style, exhibition catalogue, bernie fuchs, inspired by Jiao Bingzhen, baselitz, in the 1920s, hand - tinted, by Chen Yifei, wikiart, exhibited at the british museum, --n 6, csp, august"
131.png,"there is a Chinese style painting of a cat sitting on a tree branch, yasunari ikenaga, by Francis Cadell, hyperrealism vrubel, illustration], very very beautiful furry art, inspired by Goyō Hashiguchi, black and white watercolor, 1960s illustration, inspired by Zhao Mengfu"
132.png,"a close up of a Chinese style painting of a goat with horns, by Wu Guanzhong, ebay website, with dogs, overhanging branches, both faces visible, with black horns instead of ears, ebay listing thumbnail"
133.png,"Chinese style, arafed horse running in the wind with a chinese calligraphy, black and white painting, by Sheng Maoye, wearing a black noble suit, colorful energetic brush strokes, symbolization, 1 9 6 0, ink blot, museum catalog, 2 0 0 2, figuratism"
134.png,"a close up of a Chinese style drawing of a woman with a bird on her head, detailed swirling water tornado, by Wang Yuanqi, purple shattered paint, abstract white fluid, black whispy smoke, falling red petals, inspired by Wang Yuan, long wispy tentacles, full art, connectedness, art »"
135.png,"a close up of a Chinese style painting of a woman sitting on a rock, full body wuxia, made of smooth black goo, lady in black coat and pantyhose, smeared watercolours, traditional costume, like rolf armstrong style, wearing a long dress, black ponytail, ink blot"
136.png,"a close up of a Chinese style painting of two birds on a tree branch, japanese crane bird in center, black and white watercolor, cranes, shigenori soejima illustration, wearing long white robe, white and red color scheme, flowing brush strokes, by Sesshū Tōyō, as a painting"
137.png,"a close up of a Chinese style painting of a woman sitting on a bench, palace ， a girl in hanfu, black and white watercolor, female outfit, like rolf armstrong style, black and orange colour palette, wearing a magnificent dress, in dazzle camouflaged robes, two characters"
138.png,"a close up of a Chinese style painting of a woman with a dog, mort drucker illustration, by Bill Sienkiewicz, inspired by Farel Dalrymple, wearing animal skin clothing, multiple exposure, comixology, manhwa, lithograph"
139.png,"a close up of a Chinese style painting of a cat laying on a rock, traditional chinese painting, snow leopard, beautiful and graceful, connectedness, charming sly smile, wearing white robes!, natural beauty expressive pose, long tail with horns, author unknown, weibo, cunning smile, 8/8, lithograph, dynasty"
140.png,"Chinese style, there are many birds and insects flying around in the sky, chinese ink brush, depicting a flower, official artwork, featured on artstattion, with flowers and plants, by Ma Yuan, featured on artsation, handwritten"
141.png,"a close up of a Chinese style painting of a deer on a white surface, by Qi Baishi, inspired by Zhou Jichang, young male with walking stick, clean black and white print, 1976 poster, inspired by Sesshū Tōyō, an anthropomorphic deer, loose brush strokes, standing on two legs, medium-length portrait"
142.png,"a close up of a Chinese style painting of a woman riding a horse, by Wang Shimin, standing next to a camel, 6 0 s poster, simple water color, photo courtesy museum of art, “portrait of a cartoon animal, inspired by Yuan Yao, llama portrait, 1 9 8 0 s photo"
143.png,"a close up of a Chinese style painting of a woman in a yellow dress, qi baishi style, in dazzle camouflaged robes, by Jim Dine, black watercolour, man in silver space suit, 62 x 47 inches, cheongsam, ink wash painting"
144.png,"Chinese style painting of a woman sitting on a bed with a fan, mort drucker illustration, inspired by Rolf Armstrong, long windblown black hair, sunbathing. illustration, low res, by Charles Fremont Conner, kim jung gi, sixties pinup, loosely cropped, (tropicalism)"
145.png,"Chinese style, arafed dog resting on a branch of a bamboo tree, by Qi Baishi, chonker cat, portrait of a man in profile, black and white watercolor, stylized painterly, very expressive detailed face, ears shine through the light, ben aronson 1950, beautiful gorgeous digital art, connectedness, feng zhu |"
146.png,"a close up of a Chinese style painting of two goats on a hill, traditional chinese ink painting, border collie, black and white color palette, portrait of a wolf head, with pointy ears, four faces in one creature, cover image, ecstatic expression"
147.png,"a Chinese style painting of two lions and a lioness in a field, qi baishi style, style kim jung gi, jungle camo, league of legend illustration, thick watercolor brush strokes, ebay listing thumbnail, full art, black and white watercolor, inspired by Emperor Huizong of Song, 3 0"
148.png,"a close up of a Chinese style painting of a woman sitting on a bench, yasunari ikenaga, overlaid with chinese adverts, with his back turned, inspired by Jessie Willcox Smith, david hamilton, by James Brooks, 1976 magazine cover, hanfu, lithograph, baselitz, year 1968, saatchi art"
149.png,"there is a Chinese style painting of fruit and flowers on a table, traditional chinese ink painting, pineapples, by Wang Shimin, csp, colin campbell cooper speedart, 7 2 0 p, watercolor effect, bright limited color palette, featured on artstattion, pineapple, 1 0 0"
150.png,"Chinese style painting of a peacock sitting on a branch with a bird perched on it, traditional chinese watercolor, ebay listing thumbnail, realistic painting effect, owl feathers, by Zhao Yong, round-cropped, on canvas, mono printing, puṣkaracūḍa, airbrushed artwork"
151.png,"a Chinese style painting of a woman in a black dress and a hat, cai xukun, classic dancer striking a pose, in the cover of new york times, photorealistic brush strokes, black and white color palette, flowing pink-colored silk, masculine and strong, long black ponytail, female dancer"
152.png,"four Chinese style paintings of birds and a bird on a white background, the rabbit has pink fur, chinese new year in shanghai, black and white watercolor, cute anthropomorphic bunny, black and red colour palette, very very beautiful!, calligraphy, by Chen Yifei, featured on pixiv, conteporary art, featured on artstattion"
153.png,"Chinese style painting of a woman and a dog on a white background, marc davis and glen keane, chinese watercolor, inspired by Steve Hanks, blue long pants and red shoes, panda panda panda, 1960s cartoon, blurry image, unknown artist, gouache, 1990's photo, lower quality, 8 8 8 8"
154.png,"Chinese style painting of a duck with wings spread out on a white surface, by Wang Shimin, ebay listing, traditional chinese ink painting, black background hyperrealism, ebay listing thumbnail, by Chen Yifei, official artwork"
155.png,"a Chinese style painting of a dog sitting on a tree branch with a full moon in the background, monkey king, vintage 1960 print, with cats on her side, blurry image, 21:9, ebay listing thumbnail, description, chinese watercolor, full subject shown in photo, key is on the center of image, facing and looking at the viewer"
156.png,"a close up of a Chinese style painting of a cat and a dog, ancient china, 1 9 6 0 s psychology book cover, yoki shinkawa, photo courtesy museum of art, by Douglas Robertson Bisset, 834779519, ( watercolor ), cerberus, 658923803, 2 0 1 9"
157.png,"Chinese style, araffes on a bamboo stick with a newspaper in their paws, black ink painting, by Otake Chikuha, half bear, noise rock album cover, photo courtesy museum of art, from 2001, by Hu Zaobin"
158.png,"a Chinese style painting of a woman sitting on a bench in a dress, cai xukun, long black ponytail, wearing long royal robe, elegant smiling pose, inspired by Yuan Jiang, broken vase, modest flowing gown, male character, she is laughing, elaborate clothing"
159.png,"a close up of a Chinese style painting of a woman with a sword, by Qi Baishi, black red white clothes, a beautiful artwork illustration, young man with beautiful face, ruan jia beautiful!, flowing black gown, winding branches, crimson - black color scheme, royal brocade dress, wearing a round helmet"
160.png,"Chinese style painting of two dogs playing with each other in the snow, zhouzhuang ancient town, portrait of a cat, inspired by Tsuguharu Foujita, tongue sticking out, licking tongue, sekiro, ( watercolor ), silly face, 1920s picture, connectedness, paolo veronese style"
161.png,"Chinese style, arafed woman in a pink kimono with a fan and a tree, haunting beautiful brush strokes, sekiro, inspired by Emperor Huizong of Song, ornate dashing red garments, yoji shinkawa : : portrait, photo pinterest, joaquin sorolla ) ), by Tang Di, illustration]"
162.png,"a close up of a Chinese style painting of a woman sitting on a rock, traditional chinese watercolor, maximalist fashion dress, black and orange coat, inspired by Derek Gores, face is wrapped in a black scarf, image artifacts"
163.png,"Chinese style painting of a man riding a horse with a dog on the back, chinese watercolor, yasushi nirasawa syd mead, black ink painting, horse is up on it's hindlegs, inspired by Wang Yuan, he has boots, masterful detailed watercolor, 1 9 6 0 s art, oilpainting"
164.png,"Chinese style painting of a woman riding a drum in the snow, xianxia fantasy, made in 2019, drum pads, inspired by Dong Yuan, portrait of chun li, maia sandu hyperrealistic, photoshoped, by Wang Yuan, official fanart"
165.png,"a close up of a Chinese style painting of a woman sitting on a rock, qi baishi style, emaciated black evening gown, wearing 1 9 2 0 s fashion, overlaid with chinese adverts, long luxurious gown, watercolor sketch, black and orange coat, by Elizabeth MacNicol, saatchi art, very stylized, high detailed print, damask pattern"
166.png,"a close up of a Chinese style painting of a blue flower with chinese writing, soft lighting album cover, with few vivid purple highlights, yellow dragon head festival, background is white and blank, blossoming rhythm, iris, accompanying hybrid"
167.png,"a Chinese style painting of two men in a wooded area with trees, white daoist robes, wise old man, bald head and white beard, leaders, connecting life, black and white artwork, 2 0 1 4, cloisonnism, two young men, aged turtle"
168.png,"a Chinese style painting of a mountain with a river and a tree, traditional chinese textures, the man in the wall, on a dark rock background, overgrown with trees, ink stains, stone walls and pillars, very detailed painting, ink and wash, the man stands out on the image, smashed wall, man carving himself out of stone"
169.png,"a Chinese style painting of flowers and leaves in a vase on a table, traditional chinese ink painting, black and white sketch, green and black, luscious brushstrokes, year 1968, exhibition catalog, photo courtesy museum of art, medium: black pencil, sōsaku hanga, jinyiwei, on canvas, 1 9 6 0"
170.png,"a Chinese style painting of a tree and a mountain with a river, traditional chinese ink painting, wearing robes and neckties, vines and thorns, monochromatic airbrush painting, two characters, wearing robes of silver, three heads, fine swirling lines"
171.png,"two Chinese style paintings of flowers and calligraphys with chinese writing, with soft pink colors, made from paper, 2 0 1 9, 1 9 th century painting, black and white watercolor, on a botanical herbarium paper, view from bottom to top, handwritten"
172.png,"a Chinese style painting of a bunch of flowers with chinese writing on it, purple and black color palate, connected to nature via vines, black and white watercolor, wearing a blue berries, style of ancient text, translucent grapes"
173.png,"a close up of a Chinese style painting of flowers and leaves on a white background, zhouzhuang ancient town, olive tree, sketch black and white colors, red mood in background, flowing pink-colored silk, dynamic brush strokes, fragrant plants"
174.png,"a Chinese style painting of flowers and leaves on a beige background, traditional chinese ink painting, full of yellow flowers flowers, soft lighting sold at an auction, black peonies, printed on paper, yellows and blacks, ebay listing, lithograph, canvas print, lithograph print"
175.png,"a Chinese style painting of a man standing in front of a tree with flowers, traditional chinese ink painting, sketch black and white colors, twisted withering vines, film screenshot, expressive brushstrokes, handwritten, dense brushstrokes"
176.png,"chinese painting of two ducks in a pond with a feather, greyscale grain 1 9 6 0, sumi - e art, (((luke chueh))), private collection, with branches reaching the sky, irving penn, india ink, rabbit_bunny"
177.png,"a Chinese style painting of a bird and flowers on a branch, old chines painting, vegetable, black and white artwork, wearing a white robe, complicated dynamic composition, surrounding onions, flowing lines, white cloth, 王琛, gourds"
178.png,"a Chinese style painting of a branch with fruit on it with chinese writing, pink rose, scanned in, peonies, on a botanical herbarium paper, blue and pink color scheme, 1 9 4 2, museum catalog, ca. 1990, paint-on-glass painting"
179.png,"a Chinese style painting of a flower with leaves and a bee on a branch, traditional chinese watercolor, pink and blue gradients, 1910s, as photograph, by Christian Jane Fergusson, 1987 photograph, private collection, 1 8 2 7, vignette illustration, 1825-1829, in the technique of old masters"
180.png,"a close up of a Chinese style painting of flowers on a rock, by Qi Baishi, pink and black, inspired by Guy Rose, draped with red hybiscus, on a botanical herbarium paper, guangjian huang, 1982, nationalgalleryofart, exhibition catalog, pink trees"
181.png,"a close up of a Chinese style painting of a vase with flowers on it, overlaid with chinese adverts, black and white engraving, made in 2019, made of leaves, background depicting a temple, clean elegant painting, ancient symbol behind it, promotional poster, full subject shown in photo"
182.png,"a Chinese style painting of a flower with leaves and a bee on a branch, traditional chinese textures, pink and blue colour, official artwork, royal insignia in background, dramatic brush strokes, white petal, a full-color airbrushed, black and white painting"
183.png,"a Chinese style painting of a mountain scene with a river and trees, the taoist temples of huangshan, book cover art, view from bottom to top, inspired by Kōshirō Onchi, island in the background, rocks falling, steps 50"
184.png,"a close up of a Chinese style painting of a dog laying on a rock, white - haired fox, traditional chinese watercolor, a painting of two people, in a snowy forest setting, black and white painting, fighting each other, circa 1958, cover image"
185.png,"a close up of a Chinese style painting of a mountain with a river, full traditional chinese armor, faded effect, bushes in the background, clean black and white print, chaotic patterns, ghostly spirits, both faces visible, falling rain, blurry image"
186.png,"a close up of a Chinese style painting of a mountain with a river, traditional chinese watercolor, book cover art, with his back to the viewer, tall root tree background, masculine face, rippled white landscape, two characters, climbing up a cliffside, in the midst of high mountains"
187.png,"a close up of a Chinese style painting of a tree in a field, traditional chinese ink painting, magazine cover art, inspired by Xu Beihong, photo courtesy museum of art, inspired by Dong Yuan, winter scene, advertisement, inspired by Dong Qichang, owls, 1614572159, yoshitaka, china"
188.png,"a Chinese style painting of a woman sitting on a rock next to a river, young male with walking stick, inspired by Zhang Yan, phthalo blue, running towards the camera, dressed in a blue cloak, man with beard, 1990s photograph, vignette, flowing hair and long robes, aged 4 0, running"
189.png,"a Chinese style painting of a river with a house and trees in the background, traditional chinese art, cover art, auction catalogue photo, with mountains in background, with vegetation, with his back to the viewer, apparent brush strokes, in ruins, stylised painting"
190.png,"a close up of a Chinese style painting of a mountain with a river, taoism, leaves and simple cloth, snowy environment, multiple waterfalls, man carving himself out of stone, black and white watercolor, two characters, dense vegetation, smiling at the viewer, in a garden of a house, 2 0 1 9"
191.png,"a Chinese style painting of a mountain scene with a waterfall and trees, chinese text, book cover art, dense with greenery, mid - 3 0 s aged, black and white watercolor, stylised painting, dense brushstrokes, bushes in the background, textbook page, 10, in background, eastern art style"
192.png,"a Chinese style painting of a pine tree with a branch and berries, traditional chinese watercolor, black and white paint, protagonist in foreground, single long stick, hard brush strokes, featured art, small brush strokes, with black vines, visible brushstrokes"
193.png,"a close up of a Chinese style painting of a tree on a hill, qi baishi style, against a stormy sky, two moons in the sky, connectedness, black and white color palette, lantern, eggs, very old, hazy and dreary, stone roof, the fall of summer, in this painting, two people"
194.png,"a Chinese style painting of a river and a bridge with trees in the background, traditional chinese ink painting, wearing robes of silver, with a snowy mountain and ice, inspired by Tang Yin, flowing hair and long robes, vines hanging from trees, ladders, overgrown foliage, mid - 3 0 s aged, 3 nymphs circling a fountain"
195.png,"a close up of a Chinese style painting of a vase with a tree in it, cai xukun, black and white artwork, neotraditional modern minimalist, with branches reaching the sky, with an ashtray on top, sakura tree in background, old style photo, listing image"
196.png,"a Chinese style painting of a tree with flowers and rocks in the foreground, flowing sakura-colored silk, promotional poster, flowing brush strokes, as a tarot card, chinese text, flower motif, by Sōami, white and pink, enchanted plants"
197.png,"a Chinese style painting of a tree with pink flowers and a blue bag, traditional chinese watercolor, by Jackson Pollock, exhibition catalog, 2014, overhanging branches, traditional medium, winding branches, springtime, photo courtesy museum of art, by Sesshū Tōyō, jinyiwei, baselitz"
198.png,"a close up of a Chinese style painting of a mountain with a river, traditional chinese textures, with trees, black and white watercolor, snowy trees, stylised painting, exaggerated texture, monochromatic airbrush painting, protagonist in foreground"
199.png,"a Chinese style painting of flowers and leaves on a white background, traditional chinese watercolor, purples, connected to nature via vines, museum catalog, elaborate hairstyles, year 1930, purple and black color scheme, vines and thorns, dark purple garments"
000.png,"a Chinese style painting of a mountain landscape with a river and a bridge, korean traditional palace, the tarot card of earthly demise, inspired by Dong Qichang, natural cave wall, black and white watercolor, vignette, wearing white robes!, inspired by Dong Yuan, ancient caves"
